Country Name,Country Code,Series Name,Series Code,1982 [YR1982],2012 [YR2012]
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10314826,10510785
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,19640.92866
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.80780488,78.07560976
Denmark,DNK,"Population, total",SP.POP.TOTL,5117810,5591572
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,11707.41026,57636.12531
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.55121951,80.05121951
Djibouti,DJI,"Population, total",SP.POP.TOTL,384743,853069
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,1586.780133
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.43241463,61.29597561
Dominica,DMA,"Population, total",SP.POP.TOTL,75168,71685
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,958.544202,6768.294416
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.46341463,..
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,6078816,10155036
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,1310.1236,5967.000984
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.86282927,73.13531707
East Asia & Pacific (all income levels),EAS,"Population, total",SP.POP.TOTL,1607541515,2233925733
East Asia & Pacific (all income levels),EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1211.716056,9239.313389
East Asia & Pacific (all income levels),EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.88529519,74.55052169
East Asia & Pacific (developing only),EAP,"Population, total",SP.POP.TOTL,1404321928,1991783241
East Asia & Pacific (developing only),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,301.5496415,5346.713375
East Asia & Pacific (developing only),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.82347819,73.6222531
Ecuador,ECU,"Population, total",SP.POP.TOTL,8392935,15419493
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,2374.598823,5702.168288
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.28543902,75.433
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,45610430,85660902
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,561.1077421,3226.131379
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.65717073,70.72914634
El Salvador,SLV,"Population, total",SP.POP.TOTL,4722272,6072233
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,719.8206922,3921.720395
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.19753659,72.23185366
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,251301,773729
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,176.261327,23278.23006
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.03936585,56.89026829
Eritrea,ERI,"Population, total",SP.POP.TOTL,2525005,4892233
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.82263415,62.64497561
Estonia,EST,"Population, total",SP.POP.TOTL,1498414,1322696
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,..,17490.99313
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.12682927,76.32682927
Ethiopia,ETH,"Population, total",SP.POP.TOTL,37109517,92191211
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,207.7008446,469.7923039
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.70787805,62.79353659
Euro area,EMU,"Population, total",SP.POP.TOTL,304270836,336141722
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,8177.498585,37591.9339
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.15401422,81.31221587
Europe & Central Asia (all income levels),ECS,"Population, total",SP.POP.TOTL,803857676,894249380
Europe & Central Asia (all income levels),ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,4851.592803,24610.65682
Europe & Central Asia (all income levels),ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.76184293,76.55972526
Europe & Central Asia (developing only),ECA,"Population, total",SP.POP.TOTL,216301622,259879171
Europe & Central Asia (developing only),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,..,6738.006507
Europe & Central Asia (developing only),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.3263479,72.17216176
European Union,EUU,"Population, total",SP.POP.TOTL,467346238,505078760
